sample_name,cluster_label,class,donor,sex,age_days,cortical_layer
F1S4_160106_006_D01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_006_E01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_006_F01,Exc L4-5 RORB DAPK2,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_006_G01,Exc L3-5 RORB TWIST2,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_007_B01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_007_C01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_007_D01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_007_E01,Inh L3-6 SST HPGD,GABAergic,H200.1030,M,19710,L5
F1S4_160106_007_F01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_007_G01,Exc L5-6 FEZF2 ABO,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_007_H01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_008_B01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_008_C01,Exc L4-6 FEZF2 IL26,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_008_E01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_008_G01,Inh L5-6 SST NPM1P10,GABAergic,H200.1030,M,19710,L5
F1S4_160106_008_H01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_009_A01,Inh L5-6 SST MIR548F2,GABAergic,H200.1030,M,19710,L5
F1S4_160106_009_B01,Inh L4-5 PVALB MEPE,GABAergic,H200.1030,M,19710,L5
F1S4_160106_009_C01,Inh L5-6 SST TH,GABAergic,H200.1030,M,19710,L5
F1S4_160106_009_D01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_009_F01,Exc L4-6 FEZF2 IL26,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_009_G01,Exc L4-6 RORB SEMA3E,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_037_A01,OPC L1-6 PDGFRA,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_037_B01,Inh L1-2 VIP PCDH20,GABAergic,H200.1030,M,19710,L1
F1S4_160106_037_C01,Exc L4-6 FEZF2 IL26,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_037_E01,Inh L1-2 PAX6 CDH12,GABAergic,H200.1030,M,19710,L1
F1S4_160106_037_G01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_038_A01,Astro L1-2 FGFR3 GFAP,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_038_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_038_D01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_038_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_039_A01,Astro L1-2 FGFR3 GFAP,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_039_B01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_039_C01,Inh L1-3 VIP SYT6,GABAergic,H200.1030,M,19710,L1
F1S4_160106_039_D01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_039_E01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_039_G01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_039_H01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_040_A01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_040_B01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_040_C01,Inh L1-2 VIP TSPAN12,GABAergic,H200.1030,M,19710,L1
F1S4_160106_040_E01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_040_F01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_040_H01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_041_A01,OPC L1-6 PDGFRA,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_041_B01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_041_C01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_041_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_041_F01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_041_H01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_042_A01,Astro L1-2 FGFR3 GFAP,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_042_B01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_042_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_042_E01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_042_F01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_043_B01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_043_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_043_E01,Inh L1-3 VIP CHRM2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_043_F01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_043_G01,Inh L1-3 VIP SYT6,GABAergic,H200.1030,M,19710,L1
F1S4_160106_043_H01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_044_B01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_044_C01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L1
F1S4_160106_044_D01,Inh L1-2 VIP PCDH20,GABAergic,H200.1030,M,19710,L1
F1S4_160106_044_E01,Inh L1 SST CHRNA4,GABAergic,H200.1030,M,19710,L1
F1S4_160106_044_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_044_H01,Inh L1-3 VIP CHRM2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_045_A01,Micro L1-6 TYROBP,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_045_B01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_045_C01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L1
F1S4_160106_045_D01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_045_E01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L1
F1S4_160106_045_F01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_045_G01,Inh L1-2 PAX6 CDH12,GABAergic,H200.1030,M,19710,L1
F1S4_160106_046_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_046_C01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_046_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_046_F01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_046_G01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_047_A01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_047_B01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_047_D01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_047_F01,Inh L1 SST CHRNA4,GABAergic,H200.1030,M,19710,L1
F1S4_160106_047_G01,Inh L2-5 VIP TYR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_047_H01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_048_A01,Inh L1-3 VIP GGH,GABAergic,H200.1030,M,19710,L1
F1S4_160106_048_B01,Inh L1-2 VIP PCDH20,GABAergic,H200.1030,M,19710,L1
F1S4_160106_048_D01,Inh L2-6 LAMP5 CA1,GABAergic,H200.1030,M,19710,L1
F1S4_160106_048_E01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_051_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_051_B01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_051_E01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_051_F01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_051_G01,Inh L1-2 PAX6 CDH12,GABAergic,H200.1030,M,19710,L1
F1S4_160106_051_H01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_052_A01,no class,no class,H200.1030,M,19710,L1
F1S4_160106_052_B01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_052_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_052_F01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_052_H01,Astro L1-2 FGFR3 GFAP,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_053_A01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_053_B01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_053_D01,Inh L2-3 VIP CASC6,GABAergic,H200.1030,M,19710,L1
F1S4_160106_053_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_053_F01,Inh L1-2 PAX6 CDH12,GABAergic,H200.1030,M,19710,L1
F1S4_160106_054_A01,Inh L1-4 VIP OPRM1,GABAergic,H200.1030,M,19710,L1
F1S4_160106_054_C01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_054_E01,Inh L1 SST CHRNA4,GABAergic,H200.1030,M,19710,L1
F1S4_160106_055_B01,Inh L1-2 PAX6 CDH12,GABAergic,H200.1030,M,19710,L1
F1S4_160106_055_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_055_E01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_055_F01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_055_H01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_056_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_056_C01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_056_H01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_057_C01,Inh L1-2 PAX6 CDH12,GABAergic,H200.1030,M,19710,L1
F1S4_160106_057_F01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L1
F1S4_160106_057_H01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_058_F01,Inh L2-6 LAMP5 CA1,GABAergic,H200.1030,M,19710,L1
F1S4_160106_058_G01,Inh L1-4 VIP OPRM1,GABAergic,H200.1030,M,19710,L1
F1S4_160106_059_B01,Inh L1-2 PAX6 CDH12,GABAergic,H200.1030,M,19710,L1
F1S4_160106_059_C01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_059_D01,Inh L2-4 PVALB WFDC2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_059_G01,Inh L1-3 VIP CCDC184,GABAergic,H200.1030,M,19710,L1
F1S4_160106_060_B01,Inh L1 SST CHRNA4,GABAergic,H200.1030,M,19710,L1
F1S4_160106_060_D01,Inh L1-2 VIP LBH,GABAergic,H200.1030,M,19710,L1
F1S4_160106_060_E01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L1
F1S4_160106_060_F01,Inh L2-4 PVALB WFDC2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_060_G01,Inh L1-3 VIP CCDC184,GABAergic,H200.1030,M,19710,L1
F1S4_160106_061_A01,Inh L1-2 PAX6 CDH12,GABAergic,H200.1030,M,19710,L1
F1S4_160106_061_B01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_061_C01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_061_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_061_G01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_062_A01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_062_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_062_D01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_062_E01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L1
F1S4_160106_062_H01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_063_E01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_063_H01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_064_A01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L1
F1S4_160106_064_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_064_D01,Inh L1-2 VIP LBH,GABAergic,H200.1030,M,19710,L1
F1S4_160106_064_E01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_065_B01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_065_C01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_065_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_065_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_065_F01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_066_B01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_066_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_066_F01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_066_G01,Inh L2-4 SST FRZB,GABAergic,H200.1030,M,19710,L1
F1S4_160106_066_H01,Inh L2-4 VIP CBLN1,GABAergic,H200.1030,M,19710,L1
F1S4_160106_067_C01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_067_D01,Inh L1-2 VIP PCDH20,GABAergic,H200.1030,M,19710,L1
F1S4_160106_067_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_067_F01,Inh L1-2 PAX6 CDH12,GABAergic,H200.1030,M,19710,L1
F1S4_160106_067_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_067_H01,Astro L1-2 FGFR3 GFAP,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_068_A01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_068_B01,Inh L1-3 VIP ADAMTSL1,GABAergic,H200.1030,M,19710,L1
F1S4_160106_068_D01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L1
F1S4_160106_068_E01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_068_F01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_068_G01,Inh L1-2 VIP PCDH20,GABAergic,H200.1030,M,19710,L1
F1S4_160106_068_H01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_069_A01,OPC L1-6 PDGFRA,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_069_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_069_C01,no class,no class,H200.1030,M,19710,L1
F1S4_160106_069_D01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_069_E01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_069_F01,Inh L1-2 VIP LBH,GABAergic,H200.1030,M,19710,L1
F1S4_160106_069_G01,Inh L1 SST CHRNA4,GABAergic,H200.1030,M,19710,L1
F1S4_160106_069_H01,Inh L1-3 VIP ADAMTSL1,GABAergic,H200.1030,M,19710,L1
F1S4_160106_070_C01,no class,no class,H200.1030,M,19710,L1
F1S4_160106_070_F01,Inh L2-4 PVALB WFDC2,GABAergic,H200.1030,M,19710,L1
F1S4_160106_070_G01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_070_H01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_071_A01,Oligo L1-6 OPALIN,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_071_C01,no class,no class,H200.1030,M,19710,L1
F1S4_160106_071_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_071_E01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160106_071_F01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_071_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_071_H01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160106_072_A01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L1
F1S4_160106_072_B01,Inh L1 SST CHRNA4,GABAergic,H200.1030,M,19710,L1
F1S4_160106_072_C01,Inh L1-2 VIP PCDH20,GABAergic,H200.1030,M,19710,L1
F1S4_160106_072_D01,Inh L2-6 LAMP5 CA1,GABAergic,H200.1030,M,19710,L1
F1S4_160106_072_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160218_025_A01,Inh L4-6 SST B3GAT2,GABAergic,H16.06.002,F,12775,L5
F1S4_160218_025_B01,Inh L4-5 SST STK32A,GABAergic,H16.06.002,F,12775,L5
F1S4_160218_025_D01,Exc L3-5 RORB ESR1,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_025_E01,Exc L4-6 RORB SEMA3E,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_025_H01,Oligo L1-6 OPALIN,Non-neuronal,H16.06.002,F,12775,L5
F1S4_160218_026_A01,Inh L4-6 SST B3GAT2,GABAergic,H16.06.002,F,12775,L5
F1S4_160218_026_B01,Exc L4-5 RORB DAPK2,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_026_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_026_E01,Exc L3-5 RORB ESR1,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_026_G01,no class,no class,H16.06.002,F,12775,L5
F1S4_160218_026_H01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H16.06.002,F,12775,L5
F1S4_160218_027_A01,Exc L4-5 RORB FOLH1B,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_027_B01,Exc L4-6 FEZF2 IL26,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_027_H01,OPC L1-6 PDGFRA,Non-neuronal,H16.06.002,F,12775,L5
F1S4_160218_028_A01,Inh L2-5 PVALB SCUBE3,GABAergic,H16.06.002,F,12775,L5
F1S4_160218_028_B01,Inh L1-3 VIP ADAMTSL1,GABAergic,H16.06.002,F,12775,L5
F1S4_160218_028_F01,Inh L4-6 PVALB SULF1,GABAergic,H16.06.002,F,12775,L5
F1S4_160218_028_H01,Oligo L1-6 OPALIN,Non-neuronal,H16.06.002,F,12775,L5
F1S4_160218_029_E01,Inh L2-4 PVALB WFDC2,GABAergic,H16.06.002,F,12775,L5
F1S4_160218_029_F01,Exc L3-5 RORB ESR1,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_029_G01,Inh L4-6 PVALB SULF1,GABAergic,H16.06.002,F,12775,L5
F1S4_160218_030_A01,Exc L3-5 RORB ESR1,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_030_B01,Inh L4-6 SST B3GAT2,GABAergic,H16.06.002,F,12775,L5
F1S4_160218_030_E01,Exc L3-5 RORB ESR1,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_030_F01,Oligo L1-6 OPALIN,Non-neuronal,H16.06.002,F,12775,L5
F1S4_160218_030_G01,Exc L4-5 RORB FOLH1B,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_030_H01,Endo L2-6 NOSTRIN,Non-neuronal,H16.06.002,F,12775,L5
F1S4_160218_031_B01,Exc L4-6 RORB SEMA3E,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_031_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_031_D01,Exc L4-6 FEZF2 IL26,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_031_F01,Exc L3-5 RORB ESR1,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_031_H01,OPC L1-6 PDGFRA,Non-neuronal,H16.06.002,F,12775,L5
F1S4_160218_032_A01,Exc L4-5 RORB FOLH1B,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_032_B01,Exc L3-5 RORB TWIST2,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_032_C01,Inh L4-6 SST B3GAT2,GABAergic,H16.06.002,F,12775,L5
F1S4_160218_032_D01,Exc L3-5 RORB ESR1,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_032_F01,Inh L4-5 SST STK32A,GABAergic,H16.06.002,F,12775,L5
F1S4_160218_032_G01,Exc L4-6 RORB SEMA3E,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_033_A01,Exc L3-5 RORB ESR1,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_033_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_033_C01,Exc L3-5 RORB ESR1,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_033_D01,Exc L3-5 RORB ESR1,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_033_E01,Exc L3-5 RORB COL22A1,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_034_B01,Exc L4-5 RORB FOLH1B,Glutamatergic,H16.06.002,F,12775,L5
F1S4_160218_034_C01,Inh L2-5 VIP SERPINF1,GABAergic,H16.06.002,F,12775,L5
