sample_name,cluster_label,class,subclass,donor_sex,region,cortical_layer,external_donor_name
LS-15028_S52_E1-50,Inh L1-4 LAMP5 DUSP4,GABAergic,LAMP5,M,MTG,L1,H200.1025
LS-15028_S53_E1-50,Inh L1 LAMP5 NDNF,GABAergic,LAMP5,M,MTG,L1,H200.1025
LS-15028_S54_E1-50,Inh L1 LAMP5 NDNF,GABAergic,LAMP5,M,MTG,L1,H200.1025
LS-15028_S55_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15028_S59_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15028_S60_E1-50,Inh L1 VIP PRSS8,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15028_S62_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15028_S63_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15028_S65_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1025
LS-15028_S67_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15028_S73_E1-50,Exc L6 FEZF2 FAM95C,Glutamatergic,L6 CT,M,MTG,L5,H200.1025
LS-15028_S74_E1-50,Inh L5-6 SST TH,GABAergic,SST,M,MTG,L5,H200.1025
LS-15028_S75_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15028_S76_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15028_S78_E1-50,Inh L3-5 SST MAFB,GABAergic,SST,M,MTG,L5,H200.1025
LS-15028_S79_E1-50,Inh L5-6 PVALB FAM150B,GABAergic,PVALB,M,MTG,L5,H200.1025
LS-15028_S82_E1-50,Inh L2-5 VIP TOX2,GABAergic,VIP,M,MTG,L5,H200.1025
LS-15028_S83_E1-50,Inh L2-5 VIP TOX2,GABAergic,VIP,M,MTG,L5,H200.1025
LS-15028_S86_E1-50,Inh L5-6 LAMP5 SFTA3,GABAergic,LAMP5,M,MTG,L5,H200.1025
LS-15028_S88_E1-50,Astro L1-6 FGFR3 ETNPPL,Non-neuronal,Astrocyte,M,MTG,L5,H200.1025
LS-15028_S89_E1-50,Exc L5-6 THEMIS GPR21,Glutamatergic,L5/6 IT Car3,M,MTG,L5,H200.1025
LS-15028_S90_E1-50,Inh L5 PVALB CNTNAP3P2,GABAergic,PVALB,M,MTG,L5,H200.1025
LS-15028_S91_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15028_S92_E1-50,Inh L5-6 LAMP5 SFTA3,GABAergic,LAMP5,M,MTG,L5,H200.1025
LS-15028_S93_E1-50,Inh L5 PVALB CNTNAP3P2,GABAergic,PVALB,M,MTG,L5,H200.1025
LS-15028_S94_E1-50,Exc L5 RORB LINC01202,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15028_S95_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1025
LS-15028_S96_E1-50,Astro L1-6 FGFR3 ETNPPL,Non-neuronal,Astrocyte,M,MTG,L5,H200.1025
LS-15039_S42_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S43_E1-50,Oligo L4-6 OPALIN,Non-neuronal,Oligodendrocyte,M,MTG,L5,H200.1025
LS-15039_S44_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S45_E1-50,Inh L5-6 PVALB FAM150B,GABAergic,PVALB,M,MTG,L5,H200.1025
LS-15039_S46_E1-50,Inh L5-6 SST ISOC1,GABAergic,SST,M,MTG,L5,H200.1025
LS-15039_S47_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S48_E1-50,Oligo L4-6 OPALIN,Non-neuronal,Oligodendrocyte,M,MTG,L5,H200.1025
LS-15039_S50_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S51_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S52_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S54_E1-50,Inh L4-6 SST MTHFD2P6,GABAergic,SST,M,MTG,L5,H200.1025
LS-15039_S55_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S56_E1-50,Oligo L4-6 MOBP COL18A1,Non-neuronal,Oligodendrocyte,M,MTG,L5,H200.1025
LS-15039_S57_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S58_E1-50,Inh L5-6 SST KLHL14,GABAergic,SST,M,MTG,L5,H200.1025
LS-15039_S61_E1-50,Inh L5 PVALB CNTNAP3P2,GABAergic,PVALB,M,MTG,L5,H200.1025
LS-15039_S62_E1-50,Exc L5-6 FEZF2 CYP26B1,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1025
LS-15039_S64_E1-50,Oligo L4-6 OPALIN,Non-neuronal,Oligodendrocyte,M,MTG,L5,H200.1025
LS-15039_S82_E1-50,Inh L4-6 SST MTHFD2P6,GABAergic,SST,M,MTG,L5,H200.1025
LS-15039_S83_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S86_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1025
LS-15039_S87_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S88_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S89_E1-50,Astro L1-6 FGFR3 ETNPPL,Non-neuronal,Astrocyte,M,MTG,L5,H200.1025
LS-15039_S90_E1-50,Exc L6 FEZF2 FAM95C,Glutamatergic,L6 CT,M,MTG,L5,H200.1025
LS-15039_S91_E1-50,Exc L3-5 RORB CMAHP,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S92_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S94_E1-50,Exc L5 RORB SNHG7,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15039_S96_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S49_E1-50,Micro L1-6 C1QC,Non-neuronal,Microglia,M,MTG,L5,H200.1025
LS-15040_S51_E1-50,Inh L4-6 SST MTHFD2P6,GABAergic,SST,M,MTG,L5,H200.1025
LS-15040_S52_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S53_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S55_E1-50,Exc L6 THEMIS C6orf48,Glutamatergic,L5/6 IT Car3,M,MTG,L5,H200.1025
LS-15040_S56_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S57_E1-50,Inh L5 PVALB CNTNAP3P2,GABAergic,PVALB,M,MTG,L5,H200.1025
LS-15040_S58_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S59_E1-50,Exc L5-6 FEZF2 CYP26B1,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1025
LS-15040_S60_E1-50,Exc L3-4 RORB PRSS12,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S61_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S63_E1-50,Exc L5-6 THEMIS TMEM233,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S64_E1-50,Oligo L4-6 OPALIN,Non-neuronal,Oligodendrocyte,M,MTG,L5,H200.1025
LS-15040_S65_E1-50,Astro L1-6 FGFR3 ETNPPL,Non-neuronal,Astrocyte,M,MTG,L5,H200.1025
LS-15040_S66_E1-50,Exc L5-6 RORB LINC00320,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S67_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1025
LS-15040_S68_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S69_E1-50,Inh L5-6 LAMP5 SFTA3,GABAergic,LAMP5,M,MTG,L5,H200.1025
LS-15040_S70_E1-50,Exc L5-6 THEMIS TMEM233,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S71_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S72_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S90_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S91_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15040_S93_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1025
LS-15040_S94_E1-50,Inh L5 PVALB CNTNAP3P2,GABAergic,PVALB,M,MTG,L5,H200.1025
LS-15040_S96_E1-50,Oligo L4-6 OPALIN,Non-neuronal,Oligodendrocyte,M,MTG,L5,H200.1025
LS-15051_S02_E1-50,Inh L4-6 SST MTHFD2P6,GABAergic,SST,M,MTG,L5,H200.1030
LS-15051_S04_E1-50,Exc L3-4 RORB FOLH1B,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15051_S05_E1-50,Exc L6 FEZF2 FAM95C,Glutamatergic,L6 CT,M,MTG,L5,H200.1030
LS-15051_S07_E1-50,Exc L6 FEZF2 TBC1D26,Glutamatergic,L6b,M,MTG,L5,H200.1030
LS-15051_S08_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15051_S11_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15051_S12_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15051_S13_E1-50,Exc L6 FEZF2 KRT17,Glutamatergic,L6b,M,MTG,L5,H200.1030
LS-15051_S14_E1-50,Exc L6 FEZF2 FAM95C,Glutamatergic,L6 CT,M,MTG,L5,H200.1030
LS-15051_S15_E1-50,Inh L1-4 LAMP5 DUSP4,GABAergic,LAMP5,M,MTG,L5,H200.1030
LS-15051_S16_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S01_E1-50,Exc L5 RORB LINC01202,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S02_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1030
LS-15088_S03_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S06_E1-50,Exc L5 RORB SNHG7,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S08_E1-50,OPC L1-6 MYT1,Non-neuronal,OPC,M,MTG,L5,H200.1030
LS-15088_S17_E1-50,Exc L5 RORB SNHG7,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S18_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S20_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S21_E1-50,Outlier L5-6 SST KLHDC8A,Exclude,Exclude,M,MTG,L5,H200.1030
LS-15088_S22_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S23_E1-50,Inh L5-6 LAMP5 SFTA3,GABAergic,LAMP5,M,MTG,L5,H200.1030
LS-15088_S25_E1-50,Exc L5 FEZF2 SCN7A,Glutamatergic,L5 ET,M,MTG,L5,H200.1030
LS-15088_S27_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S29_E1-50,Exc L5-6 THEMIS GPR21,Glutamatergic,L5/6 IT Car3,M,MTG,L5,H200.1030
LS-15088_S30_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S31_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S32_E1-50,Astro L1-6 FGFR3 ETNPPL,Non-neuronal,Astrocyte,M,MTG,L5,H200.1030
LS-15088_S33_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S34_E1-50,Exc L5-6 RORB LINC00320,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S36_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S39_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S40_E1-50,Astro L1-6 FGFR3 ETNPPL,Non-neuronal,Astrocyte,M,MTG,L5,H200.1030
LS-15088_S41_E1-50,Inh L4-6 SST MTHFD2P6,GABAergic,SST,M,MTG,L5,H200.1030
LS-15088_S42_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1030
LS-15088_S44_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S45_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S46_E1-50,Inh L5-6 LAMP5 SFTA3,GABAergic,LAMP5,M,MTG,L5,H200.1030
LS-15088_S47_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1030
LS-15088_S49_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S50_E1-50,Exc L5 RORB SNHG7,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S51_E1-50,Exc L5-6 RORB LINC00320,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S52_E1-50,Exc L5 RORB SNHG7,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S53_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S54_E1-50,Exc L6 FEZF2 KRT17,Glutamatergic,L6b,M,MTG,L5,H200.1030
LS-15088_S55_E1-50,Exc L5-6 THEMIS TMEM233,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S58_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S59_E1-50,Exc L5-6 THEMIS GPR21,Glutamatergic,L5/6 IT Car3,M,MTG,L5,H200.1030
LS-15088_S60_E1-50,Exc L5 RORB LINC01202,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S61_E1-50,Exc L5-6 FEZF2 CYP26B1,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1030
LS-15088_S62_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S63_E1-50,Outlier L1-6 THEMIS CARM1P1,Exclude,Exclude,M,MTG,L5,H200.1030
LS-15088_S64_E1-50,Oligo L4-6 OPALIN,Non-neuronal,Oligodendrocyte,M,MTG,L5,H200.1030
LS-15088_S65_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S66_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1030
LS-15088_S67_E1-50,Exc L5 RORB LINC01202,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S68_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S69_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S70_E1-50,Exc L5-6 THEMIS TMEM233,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S71_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S72_E1-50,Oligo L4-6 OPALIN,Non-neuronal,Oligodendrocyte,M,MTG,L5,H200.1030
LS-15088_S73_E1-50,Inh L4-6 SST MTHFD2P6,GABAergic,SST,M,MTG,L5,H200.1030
LS-15088_S74_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S75_E1-50,Inh L5-6 LAMP5 SFTA3,GABAergic,LAMP5,M,MTG,L5,H200.1030
LS-15088_S76_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S77_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S79_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1030
LS-15088_S80_E1-50,Oligo L4-6 OPALIN,Non-neuronal,Oligodendrocyte,M,MTG,L5,H200.1030
LS-15088_S81_E1-50,Exc L5-6 THEMIS GPR21,Glutamatergic,L5/6 IT Car3,M,MTG,L5,H200.1030
LS-15088_S82_E1-50,Inh L4-6 SST MTHFD2P6,GABAergic,SST,M,MTG,L5,H200.1030
LS-15088_S83_E1-50,Exc L6 THEMIS C6orf48,Glutamatergic,L5/6 IT Car3,M,MTG,L5,H200.1030
LS-15088_S84_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1030
LS-15088_S85_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1030
